key	FR	EN	DE
Cannot render slider: 'maximum' needs to be bigger than 'minimum'	Impossible de rendre le slider : Le 'maximum' doit être plus grand que le 'minimum'.	Cannot render slider: 'maximum' needs to be bigger than 'minimum'	Schieberegler kann nicht dargestellt werden: ' Maximum' muss größer als 'Minimum' sein
Cannot render slider: the range between 'minimum' and 'maximum' must be divisible by 'interval'	Impossible d'afficher le slider : la plage entre 'minimum' et 'maximum' doit être divisible par 'intervalle'.	Cannot render slider: the interval between 'minimum' and 'maximum' must be divisible by 'step'	Schieberegler kann nicht gerendert werden: der Bereich zwischen 'Minimum' und 'Maximum' muss durch 'Intervall' teilbar sein
The slikert cannot be rendered	Impossible d'afficher le slikert	The slikert cannot be rendered	Der Schieberegler kann nicht dargestellt werden
Cannot render slikert: 'maximum' needs to be bigger than 'minimum'	Impossible d'afficher le slikert : la valeur 'maximum' doit être supérieure à la valeur 'minimum'.	Cannot render slikert: 'maximum' needs to be bigger than 'minimum'	Slikert kann nicht dargestellt werden: 'Maximum' muss größer als 'Minimum' sein
Cannot render slikert: the range between 'minimum' and 'maximum' must be divisible by 'interval'	Impossible de rendre le slikert : la plage entre 'minimum' et 'maximum' doit être divisible par 'intervalle'.	Cannot render slikert: the interval between 'minimum' and 'maximum' must be divisible by 'step'	Slikert kann nicht dargestellt werden: der Bereich zwischen 'Minimum' und 'Maximum' muss durch 'Intervall' teilbar sein
go to next page when answered	passez à la page suivante une fois la réponse donnée	go to next page when answered	nach der Beantwortung auf die nächste Seite wechseln
"You must manually configure each usergroup permission values you wish to update. Any untouched usergroup configurations (marked with an &quot;M&quot;) will retain their original access settings."	"Vous devez configurer manuellement les valeurs d'autorisation de chaque groupe d'utilisateurs que vous souhaitez mettre à jour. Toute configuration de groupe d'utilisateurs non modifiée (marquée d'un &quot;M&quot ;) conservera ses paramètres d'accès d'origine."	"You must manually configure each usergroup permission values you wish to update. Any untouched usergroup configurations (marked with an &quot;M&quot;) will retain their original access settings."	"Sie müssen die Berechtigungswerte jeder Benutzergruppe, die Sie aktualisieren möchten, manuell konfigurieren. Alle unberührten Benutzergruppenkonfigurationen (mit einem &quot;M&quot; gekennzeichnet) behalten ihre ursprünglichen Zugriffseinstellungen."
INHERITANCE ENABLED	HÉRITAGE ACTIVÉ	INHERITANCE ENABLED	VERERBUNG AKTIVIERT
INHERITANCE DISABLED	HÉRITAGE DÉSACTIVÉ	INHERITANCE DISABLED	VERERBUNG DEAKTIVIERT
Toggle blocked item visibility	Basculer la visibilité de l'élément bloqué	Toggle blocked item visibility	Sichtbarkeit des blockierten Objekts umschalten
Descriptive Statistics	Statistiques descriptives	Descriptive Statistics	Statistik
Add Custom Text	Un texte personnalisé	Add Custom Text	Textblock hinzufügen
Save Report	Sauvegarder le rapport	Save Report	Report speichern
Load/Remove Report	Charger le rapport	Load report	Report laden
Set Start Date (optional)	Définir la date de début (facultatif)	Set Start Date (optional)	Startdatum festlegen (optional)
DD-MM-YYYY ending date	Date de fin JJ-MM-AAAA	DD-MM-YYYY ending date	TT-MM-JJJJ-Enddatum
Export Options:	Options d'exportation :	Export Options:	Exportoptionen:
DD-MM-YYYY starting date	Date de début JJ-MM-AAAA	DD-MM-YYYY starting date	TT-MM-JJJJ Startdatum
Start Date must be older than End Date (when specified), and not beyond the current date.	La date de début doit être antérieure à la date de fin (lorsqu'elle est spécifiée), et ne doit pas dépasser la date d’aujourd’hui.	Start Date must be older than End Date (when specified), and not beyond the current date.	Das Startdatum muss älter sein als das Enddatum (wenn angegeben) und darf nicht über das aktuelle Datum hinausgehen.
Set End Date (optional)	Définir la date de fin (facultatif)	Set End Date (optional)	Enddatum festlegen (optional)
End Date must be newer than Start Date, and not beyond the current date.	La date de fin doit être plus récente que la date de début et ne doit pas dépasser la date d’aujourd’hui.	End Date must be newer than Start Date, and not beyond the current date.	Das Enddatum muss neuer als das Startdatum sein und darf nicht über das aktuelle Datum hinausgehen.
Date Input Error	Erreur de saisie de la date	Date Input Error	Fehler bei der Datumseingabe
Load Chart Configuration	Charger la configuration du graphique	Load Chart Configuration	Diagrammkonfiguration laden
Select chart layout to load	Sélectionnez le rapport à charger	Select chart layout to load	Report auswählen
Rendering plots	Rendu	Rendering plots	Report rendern
Save Chart Configuration	Sauvegarder la configuration du graphique	Save Chart Configuration	Report speichern
Enter chart layout name:	Entrez le nom du rapport :	Enter chart layout name:	Name des Reports eingeben:
Layout visible to others with test access	Rapport visible pour les autres personnes ayant un accès au test	Layout visible to others with test access	Reports sichtbar für andere mit Zugang zum Test
Confirm Overwrite	Confirmer le remplacement	Confirm Overwrite	Überschreiben bestätigen
This name already exists! Are you sure you wish to overwrite the existing entry?	Ce nom existe déjà ! Êtes-vous sûr de vouloir remplacer l'entrée existante ?	This name already exists! Are you sure you wish to overwrite the existing entry?	Dieser Name existiert bereits! Sind Sie sicher, dass Sie den bestehenden Eintrag überschreiben möchten?
Yes	Oui	Yes	Ja
No	Non	No	Nein
Maximum chart layout title must be under 30 characters in length!	Le titre du rapport doit comporter moins de 30 caractères !	Maximum chart layout title must be under 30 characters in length!	Der Name des Reports darf nicht länger als 30 Zeichen sein!
Edit Text Section	Modifier une section de texte	Edit Text Section	Textabschnitt bearbeiten
Create Text Section	Créer une section de texte	Create Text Section	Textabschnitt erstellen
Enter title here	Entrez le titre ici	Enter title here	Geben Sie hier die Überschrift ein
Enter text here	Entrez le texte ici	Enter text here	Geben Sie hier den Text ein
Pie Chart	Graphique circulaire	Pie Chart	Kreisdiagramm
Open Question	Ouvrir une question	Open Question	Offene Frage
Filter test page name	Filtre du nom de la page de test	Filter test page name	Filter Testseitenname
You do not have access to this object.	Vous n'avez pas accès à cet objet.	You do not have access to this object.	Sie haben keinen Zugriff auf dieses Objekt.
Test-type:	Type de test :	Test-type:	Test-Typ:
Switch Test Language	Changer la langue du test	Switch Test Language	Testsprache wechseln
Test Language Display	Affichage de la langue de test	Test Language Display	Anzeige der Testsprache
Select test language:	Sélectionner la langue du test :	Select test language:	Testsprache auswählen:
Do you want to exit without saving or continue?	Voulez-vous quitter sans sauvegarder ou continuer ?	Do you want to exit without saving or continue?	Möchten Sie den Test ohne zu speichern beenden oder fortsetzen?
Points	Points	Points	Punkte
Save number of pages used	Enregistrer le nombre de pages utilisées	Save number of pages used	Anzahl der verwendeten Seiten speichern
P	P	P	P
</span> point	</span> point	</span> point	</span> Punkt
</span> points	</span> points	</span> points	</span> Punkte
"Maximum achievable score: <span id=""scoringPts"">"	"Score maximal réalisable : <span id=""scoringPts"">"	"Maximum achievable score: <span id=""scoringPts"">"	"Maximalpunktzahl: <span id=""scoringPts"">"
The testpool has less test pages than selected in the fluid block.	Le pool de test contient moins de pages de test que ce qui a été sélectionné dans le bloc fluide.	The testpool has less test pages than selected in the fluid block.	Der Testpool hat weniger Testseiten als im Fluid Block ausgewählt.
You are trying to delete a media file which is used in '+res+' interaction(s). Do you really want to proceed?	Vous essayez de supprimer un fichier multimédia qui est utilisé dans les interactions '+res+'. Voulez-vous vraiment continuer ?	You are trying to delete a media file which is used in '+res+' interaction(s). Do you really want to proceed?	Sie versuchen, eine Mediendatei zu löschen, die in '+res+' Interaktion(en) verwendet wird. Wollen Sie wirklich fortfahren?
This name is already in use by another user! Please select another name.	Ce nom est déjà utilisé par un autre utilisateur ! Veuillez choisir un autre nom.	This name is already in use by another user! Please select another name.	Dieser Name wird bereits von einem anderen Benutzer verwendet! Bitte wählen Sie einen anderen Namen.
Name of entry must be 30 characters or fewer!	Le nom de l'entrée doit comporter 30 caractères ou moins !	Name of entry must be 30 characters or fewer!	Der Name des Eintrags darf höchstens 30 Zeichen lang sein!
Name is already in use! You may not overwrite another user's entry.	Le nom est déjà utilisé ! Vous ne pouvez pas écraser l'entrée d'un autre utilisateur.	Name is already in use! You may not overwrite another user's entry.	Der Name ist bereits in Gebrauch! Sie dürfen den Eintrag eines anderen Benutzers nicht überschreiben.
Sorry, you may not remove another user's entry!	Désolé, vous ne pouvez pas supprimer l'entrée d'un autre utilisateur !	Sorry, you may not remove another user's entry!	Sie können den Eintrag eines anderen Benutzers leider nicht entfernen!
This pool assignment has been deleted. Test Manager will be closed.	Cette affectation de pool a été supprimée. Le gestionnaire de tests sera fermé.	This pool assignment has been deleted. Test Manager will be closed.	Diese Poolzuweisung wurde gelöscht. Test-Manager wird geschlossen.
System is currently in maintenance mode. Please try again later.	Le système est actuellement en mode maintenance. Veuillez réessayer plus tard.	System is currently in maintenance mode. Please try again later.	Das System befindet sich derzeit im Wartungsmodus. Bitte versuchen Sie es später erneut.
Date format not valid! Please use DD-MM-YYYY only.	Le format de la date n'est pas valide ! Veuillez utiliser uniquement le format DD-MM-YYYY.	Date format not valid! Please use DD-MM-YYYY only.	Datumsformat ungültig! Bitte verwenden Sie nur TT-MM-JJJJ.
preview	aperçu	preview	Vorschau
select file	sélectionner un fichier	select file	Datei auswählen
selected file:	fichier sélectionné :	selected file:	ausgewählte Datei:
maximum play count	nombre maximum de passages	maximum play count	maximale Abspielanzahl
disable controls	désactiver les contrôles	disable controls	Bedienelemente deaktivieren
play automatically	jouer automatiquement	play automatically	Automatisch abspielen
must be played	doit être jouée	must be played	Muss abgespielt werden
don't use placeholder	ne pas utiliser d'image de substitution	don't use placeholder	Keinen Platzhalter verwenden
proceed after playing	procéder après la diffusion	proceed after playing	Nach dem Abspielen fortfahren
limit play count	limite du nombre de passages	limit play count	Begrenzung der Abspielanzahl
